"x";"y";"pop"
"491";346603.68045;6789703.79;2
"492";346604.46045;6790818.34;3
"493";346605.74045;6789759.65;4
"494";346606.40045;6789961.6;3
"495";346607.12045;6790836.18;2
"496";346607.59045;6789823.74;2
"497";346608.12045;6790324.44;3
"498";346608.28045;6790262.28;4
"499";346608.47045;6789904.92;3
"500";346610.21045;6789937.09;2
"501";346611.06045;6789663.05;4
"502";346611.64045;6790208.58;2
"503";346612.13045;6790487.25;2
"504";346612.90045;6790004.85;4
"505";346614.05045;6788523.24;5
"506";346614.81045;6790886.63;5
"507";346615.07045;6790533.37;2
"508";346615.23045;6790781.93;2
"509";346616.46045;6790337.17;3
"510";346619.11045;6790232.38;2
"511";346621.53045;6790195.29;3
"512";346621.72045;6790057.51;2
"513";346622.86045;6790845.7;2
"514";346622.88045;6789953.11;2
"515";346623.62045;6789701.77;2
"516";346625.42045;6789712.92;2
"517";346625.69045;6790311.76;1
"518";346626.73045;6790011.26;1
"519";346627.35045;6790879.63;1
"520";346627.59045;6790179.37;2
"521";346631.78045;6789923.41;4
"522";346631.99045;6790093.72;2
"523";346632.20045;6790113.52;3
"524";346632.28045;6790858.5;2
"525";346637.05045;6790134.65;4
"526";346637.80045;6789940.08;4
"527";346639.79045;6790306.45;2
"528";346640.50045;6790008.75;3
"529";346640.84045;6790158.99;2
"530";346641.66045;6789655.33;4
"531";346642.73045;6792455.52;2
"532";346643.00045;6790072.54;2
"533";346646.67045;6789915.82;3
"534";346646.72045;6790017.34;2
"535";346646.78045;6790534.99;1
"536";346652.69045;6789786.21;4
"537";346654.58045;6790459.45;2
"538";346655.96045;6789931.22;4
"539";346656.12045;6790895.8;2
"540";346658.86045;6790070.93;2
"541";346659.78045;6788549.18;2
"542";346661.97045;6790001.92;2
"543";346662.25045;6790466.52;5
"544";346664.10045;6790138.93;2
"545";346664.14045;6789908.33;3
"546";346665.28045;6790013.01;2
"547";346665.49045;6789819.34;4
"548";346665.71045;6792613.37;2
"549";346668.30045;6790197.95;4
"550";346672.26045;6792523.61;3
"551";346673.72045;6790077.34;2
"552";346674.35045;6790127.42;4
"553";346674.45045;6789924.28;4
"554";346676.74045;6789660.26;2
"555";346677.19045;6790181.79;2
"556";346678.36045;6790478.37;5
"557";346679.73045;6790300.04;10
"558";346680.13045;6789993.85;4
"559";346681.50045;6790021.41;2
"560";346682.13045;6790115.06;3
"561";346682.42045;6790087.78;2
"562";346687.39045;6790102.21;2
"563";346688.70045;6788670.02;2
